0: {time: 1584554002092, base_water: 67}
1: {time: 1584554012132, base_water: 69}
2: {time: 1584554022174, base_water: 67}
3: {time: 1584554032219, base_water: 67}
4: {time: 1584554042244, base_water: 67}
5: {time: 1584554052268, base_water: 67}
6: {time: 1584554062293, base_water: 67}
7: {time: 1584554072318, base_water: 68}
8: {time: 1584554082335, base_water: 67}
9: {time: 1584554092359, base_water: 67}
10: {time: 1584554102385, base_water: 67}
11: {time: 1584554112410, base_water: 67}
12: {time: 1584554122434, base_water: 67}
13: {time: 1584554132458, base_water: 67}
14: {time: 1584554142482, base_water: 67}
15: {time: 1584554152728, base_water: 67}
16: {time: 1584554162752, base_water: -209}
17: {time: 1584554172776, base_water: -131}
18: {time: 1584554182798, base_water: 27}
19: {time: 1584554192822, base_water: 79}
20: {time: 1584554202847, base_water: 79}
21: {time: 1584554212871, base_water: 79}
22: {time: 1584554222896, base_water: 79}
23: {time: 1584554232913, base_water: 79}
24: {time: 1584554242938, base_water: 79}
25: {time: 1584554252962, base_water: 79}
26: {time: 1584554262986, base_water: 79}
27: {time: 1584554273011, base_water: 79}
28: {time: 1584554283025, base_water: 79}
29: {time: 1584554293049, base_water: 79}
30: {time: 1584554303073, base_water: 79}
31: {time: 1584554313098, base_water: 79}
32: {time: 1584554323122, base_water: 79}
33: {time: 1584554333146, base_water: 79}
34: {time: 1584554343170, base_water: 79}
35: {time: 1584554353194, base_water: 79}
36: {time: 1584554363218, base_water: 79}
37: {time: 1584554373242, base_water: 79}
38: {time: 1584554383267, base_water: 79}
39: {time: 1584554393283, base_water: 79}
40: {time: 1584554403307, base_water: 79}
41: {time: 1584554413332, base_water: 79}
42: {time: 1584554423357, base_water: 79}
43: {time: 1584554433382, base_water: 79}
44: {time: 1584554443407, base_water: 79}
45: {time: 1584554453432, base_water: 79}
46: {time: 1584554463456, base_water: 79}
47: {time: 1584554473476, base_water: 79}
48: {time: 1584554483491, base_water: 79}
49: {time: 1584554493515, base_water: 79}
50: {time: 1584554503539, base_water: 79}
51: {time: 1584554513566, base_water: 79}
52: {time: 1584554523590, base_water: 79}
53: {time: 1584554533616, base_water: 79}
54: {time: 1584554543640, base_water: 79}
55: {time: 1584554553666, base_water: 79}
56: {time: 1584554563690, base_water: 79}
57: {time: 1584554573714, base_water: 79}
58: {time: 1584554583738, base_water: 79}
59: {time: 1584554593814, base_water: 79}
60: {time: 1584554603873, base_water: 79}
61: {time: 1584554613932, base_water: 79}
62: {time: 1584554623994, base_water: 79}
63: {time: 1584554634081, base_water: 79}
64: {time: 1584554644141, base_water: 79}
65: {time: 1584554654200, base_water: 79}
66: {time: 1584554664259, base_water: 79}
67: {time: 1584554674314, base_water: 79}
68: {time: 1584554684363, base_water: 79}
69: {time: 1584554694419, base_water: 79}
70: {time: 1584554704498, base_water: 79}
71: {time: 1584554714545, base_water: 79}
72: {time: 1584554724595, base_water: 79}
73: {time: 1584554734634, base_water: 79}
74: {time: 1584554744668, base_water: 79}
75: {time: 1584554754710, base_water: 79}
76: {time: 1584554764749, base_water: 79}
77: {time: 1584554774785, base_water: 79}
78: {time: 1584555978492, base_water: 0}
79: {time: 1584556041283, base_water: 79}
80: {time: 1584556055809, base_water: 79}
81: {time: 1584556065839, base_water: 77}
82: {time: 1584556075863, base_water: 78}
83: {time: 1584556085888, base_water: 79}
84: {time: 1584556092044, base_water: 77}
85: {time: 1584556102073, base_water: 78}
86: {time: 1584556112096, base_water: 79}
87: {time: 1584556122121, base_water: 79}
88: {time: 1584556132142, base_water: 77}
89: {time: 1584556142166, base_water: 79}
90: {time: 1584556152189, base_water: 78}
91: {time: 1584556162213, base_water: 77}
92: {time: 1584556172232, base_water: 78}
93: {time: 1584556182255, base_water: 78}
94: {time: 1584556192279, base_water: 78}
95: {time: 1584556202303, base_water: 78}
96: {time: 1584556212329, base_water: 78}
97: {time: 1584556222354, base_water: 78}
98: {time: 1584556232369, base_water: 78}
99: {time: 1584556242394, base_water: 78}
